R,G,B,Label
84,72,59,0
72,65,55,0
61,52,43,0
84,76,65,0
81,75,63,0
79,71,59,0
84,75,60,0
111,101,89,0
75,70,54,0
184,184,176,0
140,138,128,0
140,137,120,0
156,153,147,0
138,133,122,0
121,114,102,0
101,91,76,0
65,55,45,0
122,111,96,0
111,99,84,0
117,110,97,0
172,157,135,1
157,145,125,1
154,140,118,1
144,128,108,1
147,132,110,1
160,146,122,1
197,183,163,1
206,205,195,1
223,231,230,1
217,221,217,1
222,229,226,1
216,221,218,1
209,207,198,1
168,153,131,1
157,144,122,1
150,134,113,1
214,214,210,1
220,223,218,1
224,232,231,1
222,231,231,1
100,118,132,2
107,124,139,2
105,123,135,2
100,121,130,2
122,143,156,2
88,105,117,2
108,129,137,2
141,166,179,2
146,168,181,2
160,182,201,2
182,207,227,2
190,214,236,2
183,209,231,2
188,213,236,2
190,215,232,2
198,227,248,2
205,234,253,2
220,253,255,2
217,250,255,2
217,250,255,2
248,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
49,55,48,4
36,44,34,4
35,41,29,4
37,39,29,4
53,56,43,4
120,113,96,4
54,68,49,4
53,67,47,4
73,68,55,4
69,64,52,4
31,36,24,4
31,35,25,4
41,51,38,4
62,73,52,4
67,76,54,4
34,42,30,4
32,36,34,4
39,43,45,4
35,41,37,4
16,19,16,4
26,31,24,5
17,18,16,5
16,17,13,5
14,15,13,5
11,12,11,5
11,12,9,5
12,15,13,5
11,14,11,5
24,27,26,5
86,94,102,5
27,27,22,5
149,169,173,5
33,39,43,5
11,10,9,5
12,12,10,5
10,12,10,5
10,12,9,5
21,27,20,5
13,16,12,5
13,15,11,5
