R,G,B,Label
137,137,125,0
123,125,112,0
124,121,107,0
156,154,140,0
193,187,168,0
239,236,213,0
223,216,196,0
250,249,226,0
255,255,240,0
255,255,255,0
255,255,255,0
244,245,233,0
243,242,219,0
225,223,200,0
218,216,195,0
204,203,184,0
188,181,162,0
189,185,167,0
212,207,184,0
229,228,208,0
80,91,92,1
58,64,64,1
59,64,66,1
83,93,95,1
102,111,108,1
94,104,107,1
85,95,95,1
92,101,98,1
80,87,87,1
77,87,87,1
44,52,48,1
42,44,39,1
58,63,63,1
59,64,65,1
79,86,83,1
48,52,52,1
35,39,38,1
27,30,30,1
24,26,25,1
23,26,24,1
25,30,22,2
5,5,5,2
9,10,7,2
9,9,7,2
13,13,9,2
27,32,20,2
36,41,26,2
29,37,22,2
11,12,10,2
33,38,24,2
35,40,24,2
48,64,40,2
41,45,28,2
8,9,6,2
11,11,9,2
15,18,11,2
7,8,5,2
4,5,4,2
8,8,6,2
4,4,3,2
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
112,128,136,4
107,125,137,4
131,150,160,4
132,151,162,4
135,153,165,4
135,152,165,4
141,162,171,4
120,137,147,4
239,252,253,4
138,155,168,4
127,146,156,4
139,157,167,4
131,147,160,4
112,129,137,4
130,149,159,4
143,164,177,4
129,149,159,4
131,151,159,4
139,158,172,4
135,152,164,4
37,36,27,5
77,67,49,5
79,69,51,5
35,40,28,5
35,37,29,5
40,42,34,5
170,164,142,5
56,56,47,5
35,35,27,5
51,52,40,5
77,69,52,5
87,75,55,5
17,15,14,5
22,18,15,5
18,17,14,5
46,42,31,5
79,71,57,5
91,80,60,5
104,88,67,5
112,100,83,5
39,37,25,6
64,58,39,6
44,45,31,6
40,41,26,6
15,17,11,6
15,16,11,6
17,16,12,6
7,8,6,6
8,9,7,6
7,8,7,6
9,9,7,6
21,20,15,6
39,41,27,6
50,46,30,6
7,8,6,6
6,7,5,6
13,15,13,6
9,10,8,6
16,15,12,6
13,14,9,6
