R,G,B,Label
121,123,109,0
135,133,117,0
181,175,153,0
232,225,198,0
255,255,232,0
255,255,252,0
212,219,220,0
82,95,96,0
166,165,147,0
144,145,131,0
176,174,155,0
212,206,186,0
224,216,195,0
242,237,214,0
92,101,101,0
69,76,77,0
40,45,44,0
39,44,42,0
79,87,87,0
125,134,128,0
90,99,97,0
77,86,86,0
58,64,65,0
70,77,77,0
62,71,73,0
55,61,59,0
53,57,58,0
65,68,64,0
37,40,41,0
41,46,45,0
47,51,50,0
40,43,42,0
36,36,33,0
19,20,19,0
22,23,22,0
19,20,20,0
19,21,20,0
24,26,26,0
30,32,33,0
37,41,41,0
30,33,32,0
28,29,25,1
24,27,24,1
35,37,33,1
29,31,27,1
64,65,56,1
34,36,32,1
63,68,61,1
49,55,53,1
52,57,50,1
14,13,11,1
77,69,56,1
125,141,152,1
145,164,178,1
75,68,52,1
18,16,13,1
69,61,43,1
99,86,64,1
70,77,73,1
161,179,193,1
10,13,9,1
38,51,25,1
15,22,11,1
9,9,7,1
8,9,6,1
27,34,21,1
7,7,6,1
13,15,12,1
19,22,16,1
20,19,14,1
53,62,35,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
10,11,8,1
11,12,9,1
9,10,8,1
8,7,6,1
8,9,6,1
39,40,28,1
39,40,26,1
15,15,11,1
19,19,13,1
6,5,4,1
6,7,5,1
5,6,4,1
6,6,4,1
13,12,10,1
14,15,11,1
12,12,10,1
7,7,6,1
5,6,4,1
8,9,6,1
8,9,7,1
8,9,7,1
