R,G,B,Label
189,195,198,0
133,133,123,0
93,81,67,0
79,71,62,0
207,207,195,0
140,133,125,0
136,130,123,0
94,85,71,0
142,138,124,0
147,141,127,0
173,166,154,0
106,96,79,0
72,64,51,0
74,65,53,0
93,85,71,0
142,133,121,0
187,174,155,0
118,114,101,0
88,79,63,0
64,57,45,0
111,101,86,0
107,101,86,0
151,138,119,0
91,83,70,0
49,41,32,0
34,39,26,1
26,33,23,1
28,29,22,1
47,55,41,1
111,131,143,1
136,154,169,1
161,185,205,1
152,175,190,1
133,152,162,1
44,45,36,1
50,50,40,1
56,53,43,1
26,32,22,1
47,62,44,1
74,64,55,1
169,194,211,1
204,233,254,1
208,239,255,1
101,120,135,1
246,255,255,1
229,255,255,1
218,252,255,1
188,215,233,1
50,62,44,1
81,92,64,1
237,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
27,31,26,1
24,26,23,1
21,24,19,1
27,33,26,1
28,30,28,1
18,20,16,1
15,15,12,1
39,43,47,1
13,13,12,1
13,16,13,1
24,30,22,1
18,22,15,1
36,42,29,1
35,43,30,1
23,27,20,1
20,26,19,1
16,19,15,1
26,32,26,1
56,69,63,1
12,14,10,1
16,18,16,1
11,12,9,1
12,14,11,1
10,12,10,1
10,11,10,1
