R,G,B,Label
78,70,58,-1
68,61,53,-1
171,163,152,-1
183,183,180,-1
152,163,166,-1
118,105,86,-1
127,118,102,-1
72,64,54,-1
158,144,123,-1
120,111,97,-1
37,44,31,1
30,34,25,1
44,53,41,1
131,153,165,1
196,226,249,1
255,255,255,1
255,255,255,1
18,21,17,1
11,11,10,1
94,106,110,1
