R,G,B,Label
205,207,212,-1
220,218,221,-1
230,218,220,-1
180,182,192,-1
228,230,247,-1
222,226,230,-1
205,193,193,-1
194,188,192,-1
195,188,186,-1
210,208,204,-1
45,46,40,1
68,77,65,1
43,48,43,1
56,62,62,1
50,60,55,1
57,67,65,1
47,62,56,1
95,95,75,1
141,141,137,1
101,104,83,1
